patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch2stzii3b_1,1,week6,none,0.000193172,0.00020032,0.00019823,0.00019408,0.000197535,0.000212022,0.00023721,0.000272718,0.000313994,0.000352977,0.000393317,0.000450923,0.000524329
ch2stzii3a_1,1,week6,none,0.000167408,0.000175664,0.000189126,0.000213642,0.0002524,0.000295898,0.000330742,0.0003522,0.000364,0.000381409,0.000424913,0.000492966,0.0005559
ch2stzii2c_1,1,week6,none,0.002551857,0.001907644,0.00172323,0.001979929,0.002481141,0.002829678,0.002741579,0.002311003,0.00185615,0.001605957,0.001581534,0.001683971,0.001801827
ch2stzii2b_1,1,week6,none,0.000311643,0.000287967,0.000276391,0.000275189,0.000281355,0.000295255,0.000324875,0.000382048,0.000477813,0.000607066,0.000730893,0.000810296,0.000857766
ch2stzii2a_1,1,week6,none,0.000564772,0.000508575,0.000437596,0.000413703,0.000449111,0.000524,0.000623529,0.000740453,0.000861867,0.0009571,0.000978191,0.000912923,0.000810253
ch2stzii1b_1,1,week6,none,0.000517387,0.00052557,0.000555905,0.000588671,0.000597832,0.000587441,0.000579515,0.00058286,0.000583464,0.000571003,0.000557387,0.00054872,0.000528115
ch2stzii1a_1,1,week6,none,0.0001188,0.000163716,0.000191071,0.000198952,0.000202417,0.000203921,0.000192665,0.000168037,0.000142623,0.000130116,0.000138057,0.000161688,0.000185237
ch2stzi4c_1,1,week4,none,0.000149611,0.00018757,0.000218101,0.000241977,0.000259257,0.000276721,0.000311487,0.00037643,0.00046926,0.000575411,0.000674321,0.000744591,0.000771473
ch2stzi4b_1,1,week4,none,0.00010856,0.000122782,0.000134977,0.000148854,0.00017288,0.000207899,0.000259849,0.000357478,0.00052319,0.000719323,0.000863157,0.00091136,0.000884376
ch2stzi4a_1,1,week4,none,0.00011377,0.000114336,0.000124355,0.000149454,0.000184026,0.000229657,0.000312248,0.000459925,0.000656464,0.000835898,0.000935008,0.000934019,0.000862364
ch2stzi3c_1,1,week4,none,0.000521942,0.000574901,0.000642149,0.000696648,0.000718212,0.000703498,0.000671963,0.000640062,0.000607965,0.000586969,0.000632519,0.000823216,0.001132851
ch2stzi3b_1,1,week4,none,0.000400239,0.000409383,0.000422025,0.000451282,0.000496601,0.000552093,0.000602359,0.000626076,0.000624901,0.000652993,0.000804434,0.001117313,0.001465912
ch2stzi3a_1,1,week4,none,0.000573952,0.000570508,0.000563797,0.000548096,0.000519611,0.000485946,0.000460678,0.000452939,0.000462865,0.000489981,0.000555297,0.000691607,0.000878824
ch2stzi2c_1,1,week4,none,0.852965199,0.93177855,0.994191552,1.030803648,1.032940981,1.001843622,0.951700658,0.904900209,0.887349069,0.921542179,1.01241126,1.134265053,1.233827705
ch2stziv5c_1,1,week12,none,0.000918828,0.001077665,0.001117204,0.00100698,0.000811467,0.000637535,0.000560195,0.000586891,0.000660468,0.000704759,0.000679796,0.000599863,0.000510185
ch2stziv5b_1,1,week12,none,0.000956832,0.001131735,0.001170265,0.001089357,0.000962348,0.000836214,0.000730127,0.000676839,0.000706699,0.000784604,0.000818665,0.000764961,0.000664873
ch2stziv5a_1,1,week12,none,0.000703981,0.00086379,0.001062491,0.001229038,0.001274435,0.001193627,0.001067784,0.000968646,0.000912264,0.000881313,0.000856783,0.000830038,0.000800395
ch2stziv4c_1,1,week12,none,0.00019552,0.000218804,0.000240652,0.000272532,0.000335046,0.000443525,0.000571727,0.000648846,0.000637574,0.000578422,0.000527576,0.000498017,0.000472935
ch2stziv4b_1,1,week12,none,0.000241695,0.000273235,0.000315729,0.000375983,0.000460841,0.000565297,0.000646833,0.000654113,0.000588959,0.000504245,0.000444211,0.00041459,0.000402215
ch2stziv4a_1,1,week12,none,0.000172222,0.000204752,0.000242353,0.000276127,0.000309197,0.000376962,0.000517168,0.00069894,0.000826142,0.000838011,0.00076002,0.000646742,0.000529849
ch2stziv3c_1,1,week12,none,0.000510037,0.000532672,0.000518301,0.000490902,0.000461084,0.000432727,0.0004229,0.000452114,0.000530479,0.000646221,0.000755277,0.000812206,0.000821902
ch2stziv3b_1,1,week12,none,0.000450738,0.000427573,0.000375124,0.000317921,0.000287723,0.000300291,0.000342717,0.000389234,0.000435879,0.000500363,0.000572169,0.000613343,0.000632258
ch2stziv3a_1,1,week12,none,0.000412406,0.000418983,0.000383212,0.000327362,0.000304102,0.000359576,0.000480309,0.000585815,0.000623581,0.000638921,0.000693008,0.000770051,0.000831587
ch2stziv2b_1,1,week12,none,0.001413521,0.001881162,0.002308272,0.002618372,0.002742764,0.002614313,0.002278029,0.001906026,0.001644465,0.001525641,0.001500441,0.001497271,0.001475591
ch2stziv2a_1,1,week12,none,0.001608582,0.002172281,0.002563615,0.002731378,0.002716485,0.002577334,0.002366032,0.002114206,0.001827516,0.001524665,0.001273968,0.001138843,0.001107802
ch2stziv1d_1,1,week12,none,0.001507133,0.001747029,0.001760096,0.001665315,0.001641151,0.001742105,0.001907622,0.00202494,0.001971453,0.001727998,0.001424761,0.00121632,0.00114839
ch2stziv1c_1,1,week12,none,8.97E-05,0.000108391,0.000135066,0.000164583,0.000199208,0.000252895,0.000320077,0.000361059,0.000352923,0.000325923,0.000319197,0.000333138,0.000348506
ch2stziv1b_1,1,week12,none,9.37E-05,9.45E-05,0.000109259,0.000142812,0.000210312,0.00030801,0.000391673,0.000420223,0.000403886,0.000384701,0.000392113,0.000426,0.000469333
ch2stziv1a_1,1,week12,none,0.000148095,0.000166834,0.00019097,0.000226231,0.000285531,0.000359339,0.000409097,0.000414997,0.00040267,0.000407394,0.000441728,0.000497051,0.000555797
ch2stziii3c_1,1,week8,none,0.002619857,0.00341229,0.003719706,0.003789029,0.003883786,0.003928161,0.003885304,0.003862629,0.003965612,0.004266343,0.004619252,0.004699843,0.004479948
