patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch2stzii1b_1,1,week6,none,0.000517387,0.00052557,0.000555905,0.000588671,0.000597832,0.000587441,0.000579515,0.00058286,0.000583464,0.000571003,0.000557387,0.00054872,0.000528115
ch2stzii1a_1,1,week6,none,0.0001188,0.000163716,0.000191071,0.000198952,0.000202417,0.000203921,0.000192665,0.000168037,0.000142623,0.000130116,0.000138057,0.000161688,0.000185237
ch2stzi4c_1,1,week4,none,0.000149611,0.00018757,0.000218101,0.000241977,0.000259257,0.000276721,0.000311487,0.00037643,0.00046926,0.000575411,0.000674321,0.000744591,0.000771473
ch2stzi4b_1,1,week4,none,0.00010856,0.000122782,0.000134977,0.000148854,0.00017288,0.000207899,0.000259849,0.000357478,0.00052319,0.000719323,0.000863157,0.00091136,0.000884376
ch2stzi4a_1,1,week4,none,0.00011377,0.000114336,0.000124355,0.000149454,0.000184026,0.000229657,0.000312248,0.000459925,0.000656464,0.000835898,0.000935008,0.000934019,0.000862364
ch2stzi3c_1,1,week4,none,0.000521942,0.000574901,0.000642149,0.000696648,0.000718212,0.000703498,0.000671963,0.000640062,0.000607965,0.000586969,0.000632519,0.000823216,0.001132851
ch2stzi3b_1,1,week4,none,0.000400239,0.000409383,0.000422025,0.000451282,0.000496601,0.000552093,0.000602359,0.000626076,0.000624901,0.000652993,0.000804434,0.001117313,0.001465912
ch2stzi3a_1,1,week4,none,0.000573952,0.000570508,0.000563797,0.000548096,0.000519611,0.000485946,0.000460678,0.000452939,0.000462865,0.000489981,0.000555297,0.000691607,0.000878824
ch2stzi2c_1,1,week4,none,0.852965199,0.93177855,0.994191552,1.030803648,1.032940981,1.001843622,0.951700658,0.904900209,0.887349069,0.921542179,1.01241126,1.134265053,1.233827705
ch2stzi2b_1,1,week4,none,0.000213306,0.000238258,0.000291755,0.000383554,0.000498923,0.000594942,0.00064458,0.000652654,0.000642352,0.000640509,0.000655231,0.000675388,0.000701623
ch1stziv4b_1,1,week12,none,0.000252328,0.000305754,0.000384256,0.000495242,0.000635463,0.000784927,0.000894,0.000910676,0.000836146,0.000726793,0.000635044,0.000573924,0.000536668
ch1stziv4a_1,1,week12,none,0.000213624,0.000254898,0.000322657,0.000395598,0.000460077,0.000558742,0.000748841,0.000999903,0.00119633,0.001256155,0.001189741,0.001044764,0.000861181
ch1stziv3c_1,1,week12,none,0.000451236,0.000475497,0.00048006,0.000477659,0.000471788,0.000461589,0.000460885,0.000492282,0.000573196,0.000699738,0.000827622,0.000903798,0.000929987
ch1stziv3b_1,1,week12,none,0.000438137,0.000390808,0.000333238,0.00028299,0.000264695,0.000289647,0.000342388,0.000399302,0.000459982,0.000541302,0.000629068,0.00068448,0.000720078
ch1stziv3a_1,1,week12,none,0.000376057,0.000376888,0.000351996,0.00031875,0.000318808,0.000392237,0.000524028,0.000636487,0.000681981,0.000708514,0.000777706,0.000872962,0.000955871
ch1stziv2b_1,1,week12,none,0.00152148,0.002069336,0.002571495,0.002943543,0.003099211,0.002951484,0.002550372,0.002110484,0.001824728,0.001733889,0.001758784,0.001798854,0.001810001
ch1stziv2a_1,1,week12,none,0.001718009,0.002297772,0.002739358,0.002998246,0.003078576,0.002985186,0.002759218,0.002460481,0.002119408,0.001766733,0.00147923,0.001324976,0.001294439
