patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
hfdiv3oi_1,1,disorder,none,0.000685758,0.000937652,0.00106651,0.001012771,0.000841787,0.000645317,0.000479269,0.000363307,0.000300676,0.000291117,0.000334511,0.000542261,0.001517462
hfdiv3oi(1)_2,2,disorder,none,0.00030953,0.000409621,0.000530644,0.000653938,0.000736175,0.000729285,0.000642216,0.000531383,0.000434068,0.000353517,0.000292499,0.000262251,0.000289476
hfdiv3oi(1)_1,1,disorder,none,0.00023578,0.000339815,0.000486459,0.000650643,0.000777977,0.000806364,0.000726484,0.000592671,0.00046586,0.000373561,0.000314626,0.000282835,0.000307355
hfdiv3od_2,2,disorder,none,0.000735257,0.000993903,0.001050679,0.000887099,0.000637153,0.000429942,0.000306816,0.000252497,0.000251676,0.000307276,0.000437428,0.00090192,0.002997202
hfdiv3od_1,1,disorder,none,0.000873836,0.001266957,0.001451141,0.001350183,0.001109989,0.00089048,0.000745452,0.000656266,0.000601228,0.000581619,0.000618464,0.000973338,0.002910374
hfdiv3od(1)_2,2,disorder,none,0.000471915,0.000619161,0.000806676,0.001005202,0.001149708,0.001175566,0.001085771,0.000938749,0.000781026,0.000631869,0.000514493,0.000462827,0.000582875
hfdiv3od(1)_1,1,disorder,none,0.000384078,0.000514592,0.000707882,0.000932824,0.001118372,0.001182145,0.00111281,0.00097608,0.000838464,0.000730077,0.000653743,0.000613524,0.000728776
hfdiv2oi_2,2,disorder,none,0.000180793,0.000174154,0.000154084,0.000130235,0.000112496,0.000108389,0.00011993,0.00014371,0.00018838,0.000356575,0.000896291,0.001838298,0.002609096
hfdiv2oi_1,1,disorder,none,0.000269546,0.0002387,0.000200703,0.000174912,0.000163172,0.000159453,0.000161598,0.000169802,0.000196019,0.000344396,0.000883707,0.001895621,0.002797094
hfdiv2oi(1)_2,2,disorder,none,0.000158887,0.000194237,0.000207043,0.000197589,0.000177228,0.000157873,0.000147418,0.000145892,0.000148724,0.000175977,0.000349307,0.000890101,0.001742038
hfdiv2oi(1)_1,1,disorder,none,0.00029097,0.000339076,0.000335565,0.000291866,0.000235341,0.000186211,0.000153661,0.000139841,0.000144233,0.000182789,0.000362946,0.000896671,0.001734616
hfdiv2od_2,2,disorder,none,0.000720094,0.000688044,0.000604235,0.000502841,0.000423734,0.000403623,0.000448569,0.000532972,0.000664081,0.001099708,0.002481115,0.00490107,0.006887302
hfdiv2od_1,1,disorder,none,0.000854692,0.000809534,0.000696967,0.000583377,0.000509394,0.000476119,0.000475942,0.000505213,0.000586344,0.000965951,0.002309481,0.004828264,0.007073144
hfdiv2od(1)_2,2,disorder,none,0.000317039,0.000374201,0.000385933,0.000357858,0.000310171,0.000262899,0.000232366,0.000222274,0.00022562,0.000265635,0.000501696,0.001229422,0.002373378
hfdiv2od(1)_1,1,disorder,none,0.000638221,0.000716538,0.000670154,0.000547078,0.000416799,0.000317072,0.000257651,0.000234153,0.00023673,0.000282532,0.000519689,0.001238786,0.00237188
hfdiv1oi_2,2,disorder,none,0.000545484,0.000541196,0.00052135,0.000506068,0.000513363,0.000541746,0.000554791,0.000526437,0.000470731,0.00040965,0.000355035,0.000326113,0.000345324
hfdiv1oi_1,1,disorder,none,0.003572378,0.004121437,0.004642194,0.004426291,0.003652234,0.002907121,0.00249144,0.002328416,0.002294896,0.002298563,0.002174857,0.001913156,0.001800911
hfdxii3oi_2,2,disorder,none,0.001081689,0.001156679,0.001099109,0.000946733,0.00076635,0.000615034,0.000527441,0.000513861,0.000562115,0.000675725,0.001042968,0.002154942,0.004108441
hfdxii3oi_1,1,disorder,none,0.000949494,0.000893383,0.000779744,0.000669939,0.000587438,0.000517733,0.000456591,0.00042871,0.000456099,0.00055834,0.000900796,0.001954751,0.003874893
hfdxii3oi(1)_2,2,disorder,none,0.001380099,0.001616042,0.001674422,0.001591582,0.001442464,0.001303003,0.001227062,0.001217271,0.001224395,0.001209839,0.001233556,0.001599292,0.002857931
hfdxii3oi(1)_1,1,disorder,none,0.001460384,0.001696942,0.001894006,0.002010849,0.002005528,0.00187634,0.001659761,0.001428817,0.001255183,0.00117146,0.00119539,0.001504244,0.002520965
hfdxii3od_2,2,disorder,none,0.000864773,0.000990418,0.00100533,0.000938843,0.000836891,0.000740532,0.000680583,0.000661879,0.000655323,0.000634129,0.00061485,0.000681603,0.00097674
hfdxii3od_1,1,disorder,none,0.000605278,0.000750906,0.000859636,0.000912838,0.000898181,0.000824471,0.000721328,0.000626752,0.000563702,0.000535518,0.00054573,0.000644933,0.000934885
hfdxii2oi_2,2,disorder,none,0.000359236,0.000263111,0.000176488,0.000115326,8.04E-05,6.53E-05,6.25E-05,6.70E-05,7.65E-05,9.10E-05,0.000119792,0.000232486,0.000658672
hfdxii2oi_1,1,disorder,none,0.00031219,0.00023461,0.000166872,0.000125313,0.000105597,9.84E-05,9.69E-05,0.00010015,0.000108465,0.00012009,0.00014233,0.000246481,0.000655347
hfdxii2oi(1)_2,2,disorder,none,0.000624621,0.000867158,0.000976525,0.000886595,0.000683097,0.000492204,0.000385651,0.00036369,0.000385276,0.00040943,0.000415467,0.000406957,0.000446043
hfdxii2oi(1)_1,1,disorder,none,0.000490374,0.000690883,0.000818906,0.000802564,0.000678564,0.00052734,0.000402403,0.00032776,0.000312452,0.000346222,0.000397334,0.000434959,0.000486099
hfdxii2od_2,2,disorder,none,0.002581508,0.001910367,0.001283129,0.000823266,0.000544298,0.000404585,0.000352559,0.000350871,0.000382691,0.000447974,0.000602079,0.001248527,0.003693641
hfdxii2od_1,1,disorder,none,0.002534038,0.001865076,0.001274603,0.000906513,0.00072544,0.000648123,0.00061578,0.000616776,0.00065225,0.000707261,0.000821172,0.001422936,0.003835768
hfdxii2od(1)_2,2,disorder,none,0.001521299,0.002113698,0.002401928,0.002212246,0.001737801,0.001277412,0.00100537,0.000927607,0.000959034,0.00101913,0.001060611,0.001076945,0.001219826
hfdxii2od(1)_1,1,disorder,none,0.001226356,0.00181647,0.002229794,0.00224769,0.001933735,0.001498182,0.001115615,0.000880576,0.000816183,0.000873958,0.000960275,0.001009285,0.001105839
hfdxii1oi_2,2,disorder,none,0.00017888,0.000153101,0.000117408,8.74E-05,6.71E-05,5.38E-05,4.38E-05,3.57E-05,3.08E-05,2.99E-05,3.50E-05,6.77E-05,0.000192045
hfdxii1oi_1,1,disorder,none,0.000175848,0.000167472,0.00014039,0.000111017,8.99E-05,7.99E-05,7.96E-05,8.48E-05,8.96E-05,9.15E-05,9.63E-05,0.000133357,0.000271725
hfdxii1oi(1)_2,2,disorder,none,0.00017304,0.00025408,0.000341433,0.000410754,0.0004387,0.00041061,0.0003368,0.000251602,0.000186372,0.00014877,0.00012957,0.000122374,0.000146378
hfdxii1oi(1)_1,1,disorder,none,0.000229088,0.00028205,0.000376663,0.000508758,0.000622789,0.000652542,0.000589124,0.00048025,0.000377611,0.000309978,0.000285015,0.000295447,0.000336597
hfdxii1od_2,2,disorder,none,3.73E-05,3.07E-05,2.18E-05,1.47E-05,1.02E-05,7.69E-06,6.42E-06,5.84E-06,5.62E-06,5.70E-06,6.96E-06,1.56E-05,4.81E-05
hfdxii1od_1,1,disorder,none,3.86E-05,3.59E-05,2.84E-05,2.04E-05,1.43E-05,1.02E-05,7.75E-06,6.30E-06,5.49E-06,5.18E-06,6.54E-06,1.68E-05,5.29E-05
hfdxii1od(1)_2,2,disorder,none,0.000114633,0.000167421,0.00021852,0.000252319,0.000258701,0.000234455,0.000188499,0.000140545,0.000106871,8.96E-05,8.15E-05,7.80E-05,9.14E-05
hfdxii1od(1)_1,1,disorder,none,7.23E-05,9.84E-05,0.000145196,0.000208816,0.000256331,0.000255352,0.000212319,0.000158514,0.000115139,8.62E-05,6.96E-05,6.55E-05,8.18E-05
hfdvi3oi_2,2,disorder,none,0.004129164,0.005363675,0.006581527,0.00715706,0.00689263,0.006253134,0.005765212,0.005511745,0.005328415,0.005160044,0.005038533,0.004925793,0.004755251
hfdvi3oi_1,1,disorder,none,0.006304646,0.007423396,0.008227542,0.008626546,0.008409411,0.007820436,0.007381276,0.007123575,0.006761007,0.006310743,0.005962716,0.005681566,0.005301482
hfdvi3od_2,2,disorder,none,0.00175994,0.002312972,0.002879715,0.00313556,0.00299252,0.00270735,0.00255244,0.00256006,0.002620159,0.002658762,0.00266263,0.002628777,0.002560749
hfdvi3od_1,1,disorder,none,0.001873762,0.002445118,0.002925146,0.003235104,0.003285009,0.003126792,0.002940121,0.00280729,0.002699249,0.002622232,0.002607952,0.002614116,0.002556275
hfdvi2oi_2,2,disorder,none,0.000217738,0.000179697,0.000144595,0.000120387,0.000107749,0.000102765,0.000101455,0.000122097,0.000296358,0.000932804,0.002089352,0.003074379,0.003126877
hfdvi2oi_1,1,disorder,none,0.000232162,0.000207266,0.000186913,0.000179039,0.000178677,0.000177848,0.000177239,0.000193995,0.000337633,0.000911859,0.002056391,0.003149056,0.003340152
hfdvi2oi(1)_2,2,disorder,none,0.000421372,0.000540371,0.00065732,0.000741607,0.000787931,0.000796014,0.000756428,0.000680092,0.000607173,0.000628625,0.001046973,0.002389122,0.004504089
