patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
c57bl6jstz10foto_1,1,disorder,none,0.046281944,0.065591193,0.102649305,0.170707413,0.277510646,0.40400519,0.50498508,0.538499845,0.495543164,0.405327735,0.307547644,0.225452356,0.16762699
c57bl6jstz1foto_2,2,disorder,none,0.027054055,0.028273473,0.027508023,0.027639806,0.03161076,0.038760201,0.046329483,0.056352616,0.080953739,0.13695572,0.223046928,0.305956756,0.393831357
c57bl6jstz1foto_1,1,disorder,none,0.036197869,0.033897449,0.032346114,0.032192439,0.03366283,0.036685699,0.041361095,0.049567949,0.066037706,0.101139296,0.168833352,0.265185225,0.387202582
c57bl6jctrl9_2,2,health,none,0.031247233,0.04045756,0.049186014,0.056228269,0.063388215,0.072812032,0.086006172,0.105016001,0.131742589,0.163499173,0.191028451,0.208106837,0.253515742
c57bl6jctrl9_1,1,health,none,0.030922079,0.040835138,0.047654728,0.048123745,0.044094741,0.042665591,0.05637239,0.096462461,0.153024409,0.19400503,0.19997079,0.187318835,0.229258024
c57bl6jctrl9foto_2,2,health,none,0.013180059,0.015440943,0.017086464,0.020603309,0.03050112,0.047922344,0.064961368,0.07139688,0.067299724,0.061937064,0.062113469,0.066420831,0.076553344
c57bl6jctrl9foto_1,1,health,none,0.043139848,0.052930636,0.063337233,0.075175585,0.089697264,0.105233064,0.118617274,0.128771514,0.134431901,0.133038471,0.126183488,0.118839063,0.118175686
c57bl6jctrl8_2,2,health,none,0.025929419,0.03257323,0.047307357,0.075624158,0.122440716,0.198174121,0.304291809,0.404014056,0.445232748,0.418364849,0.360283691,0.309158572,0.279396243
c57bl6jctrl8_1,1,health,none,0.033493595,0.037790759,0.049323093,0.072577051,0.114636509,0.184859115,0.279683517,0.366007766,0.402704256,0.381684244,0.33105312,0.285201217,0.261321707
c57bl6jctrl8foto_2,2,health,none,0.0886888,0.134689029,0.192511703,0.270094106,0.353917194,0.4034033,0.392752324,0.339470078,0.278216522,0.230724807,0.208117927,0.249986517,0.569497277
c57bl6jctrl8foto_1,1,health,none,0.098861271,0.144512607,0.202996459,0.271306287,0.326982477,0.346051643,0.332448057,0.307064334,0.284406878,0.271811242,0.274147036,0.329143728,0.693711826
c57bl6jctrl7_2,2,health,none,0.013273878,0.020126933,0.030856777,0.047753359,0.07470071,0.111542284,0.148888564,0.174954115,0.183373666,0.174102617,0.152636746,0.127936524,0.108016183
c57bl6jctrl7_1,1,health,none,0.017496512,0.023591444,0.029709231,0.037263764,0.048733078,0.068073683,0.10097455,0.147737135,0.193010565,0.21391188,0.203613511,0.175447339,0.146273602
c57bl6jctrl7foto_2,2,health,none,0.079798384,0.115289086,0.156238867,0.208891574,0.296545105,0.446418512,0.654537615,0.842379636,0.90331079,0.815652004,0.651139249,0.486151635,0.355667165
c57bl6jctrl7foto_1,1,health,none,0.08471302,0.114729181,0.166536768,0.25974491,0.409263168,0.597852794,0.769581446,0.858375607,0.828727645,0.701574034,0.536207402,0.384341149,0.272716172
c57bl6jctrl6_2,2,health,none,0.055084213,0.069467609,0.092210464,0.126477782,0.173431814,0.22945515,0.289846305,0.353605564,0.412521948,0.446614484,0.448735371,0.43342072,0.411580794
c57bl6jctrl6_1,1,health,none,0.063792392,0.082808275,0.107928806,0.141791881,0.187642573,0.24631647,0.316880592,0.389759479,0.445760427,0.469630684,0.465529563,0.454458451,0.453287214
c57bl6jstz4_2,2,disorder,none,0.05621287,0.081894184,0.112238096,0.125710624,0.113939976,0.089369881,0.069909093,0.063377364,0.067713344,0.082304147,0.113323121,0.167419679,0.236067174
c57bl6jstz4_1,1,disorder,none,0.036575073,0.040185294,0.042689632,0.04700979,0.055204139,0.064071912,0.068051955,0.066387898,0.064925751,0.071094833,0.089629108,0.125703292,0.182483226
c57bl6jstz4foto_2,2,disorder,none,0.032154623,0.037064056,0.043966879,0.051256883,0.055872994,0.0574209,0.057666215,0.057513617,0.056341859,0.053163169,0.047830178,0.041522654,0.036063693
c57bl6jstz4foto_1,1,disorder,none,0.033683607,0.037433322,0.042051531,0.046056669,0.050375935,0.055997121,0.060874514,0.06167282,0.057715979,0.051716238,0.04650468,0.04286851,0.041299679
c57bl6jstz3_2,2,disorder,none,0.05967511,0.045964843,0.035454298,0.03008609,0.03077997,0.038674385,0.055130951,0.078860415,0.104521158,0.127780965,0.147432252,0.159313909,0.157695972
c57bl6jstz3_1,1,disorder,none,0.027331398,0.027875348,0.029921898,0.033772217,0.037894638,0.040541843,0.041715674,0.04291372,0.048402971,0.069861112,0.12031497,0.189574161,0.242004596
c57bl6jstz3foto_2,2,disorder,none,0.043794635,0.052644172,0.061086508,0.065124072,0.06688868,0.070484436,0.077808546,0.088719403,0.101148016,0.111346297,0.115423513,0.111132692,0.100763499
c57bl6jstz3foto_1,1,disorder,none,0.07717598,0.071653655,0.066149816,0.059759655,0.053121948,0.04875106,0.051092464,0.065383473,0.093595695,0.127798956,0.151830895,0.154606046,0.138640596
c57bl6jstz2_2,2,disorder,none,0.244202963,0.235837541,0.266341927,0.353517964,0.521176087,0.784034411,1.070040418,1.226469064,1.174614129,0.98563706,0.779358312,0.624637376,0.530502532
c57bl6jstz2_1,1,disorder,none,0.270517687,0.291035332,0.26809378,0.242174142,0.269902091,0.398972286,0.649908441,0.982345785,1.272115146,1.379164245,1.270171764,1.028889951,0.766630736
c57bl6jstz2foto_2,2,disorder,none,0.118517208,0.227421428,0.407303209,0.630310314,0.828492628,0.921591629,0.885075196,0.771278559,0.643051941,0.523374862,0.412299461,0.314898158,0.248146681
c57bl6jstz2foto_1,1,disorder,none,0.11976296,0.164295108,0.274280836,0.48440011,0.757892764,0.973658288,1.020226432,0.888473918,0.666133464,0.457663766,0.315191226,0.236680547,0.206418757
c57bl6jstz1_2,2,disorder,none,0.064466014,0.062359957,0.060823229,0.058139997,0.054971599,0.055808946,0.06516826,0.084615944,0.114188142,0.153144147,0.196014066,0.235631135,0.297177446
c57bl6jstz1_1,1,disorder,none,0.829076639,0.781720133,0.729671319,0.66438278,0.594787088,0.538372628,0.507108024,0.499075381,0.498953024,0.49548097,0.49789807,0.528280759,0.630815784
c57bl6jstz15_2,2,disorder,none,0.039403995,0.050752335,0.077824861,0.150129552,0.319633156,0.637014374,1.086095537,1.538852471,1.829122115,1.867001579,1.680706762,1.391466901,1.136414786
