patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071,f_000072,f_000073,f_000074,f_000075,f_000076,f_000077,f_000078,f_000079,f_000080,f_000081,f_000082,f_000083,f_000084,f_000085,f_000086,f_000087
ch2stziv4c_1,1,week12,none,1.14E-06,1.64E-06,2.36E-06,2.80E-06,2.63E-06,2.09E-06,1.65E-06,1.60E-06,1.82E-06,2.00E-06,2.00E-06,1.91E-06,1.88E-06,1.97E-06,2.44E-06,3.58E-06,5.01E-06,6.04E-06,6.83E-06,8.04E-06,9.75E-06,1.15E-05,1.31E-05,1.60E-05,2.38E-05,4.05E-05,6.51E-05,9.02E-05,0.000110424,0.000127888,0.000147239,0.000170388,0.00019552,0.000218804,0.000240652,0.000272532,0.000335046,0.000443525,0.000571727,0.000648846,0.000637574,0.000578422,0.000527576,0.000498017,0.000472935,0.000437687,0.000396341,0.000368882,0.000369947,0.000390571,0.000405306,0.000403225,0.000397562,0.000398117,0.000398517,0.000393702,0.000385768,0.000373633,0.000354726,0.000333788,0.000318325,0.000309605,0.000304206,0.000300307,0.000300572,0.000306546,0.000313776,0.000320327,0.000333705,0.000361709,0.000402503,0.000444572,0.000470561,0.000465705,0.000426461,0.000360982,0.000284386,0.000212572,0.000155855,0.00011644,9.11E-05,7.54E-05,6.54E-05,5.83E-05,5.24E-05,4.68E-05,4.10E-05
ch2stziv4b_1,1,week12,none,1.34E-06,9.01E-07,7.18E-07,8.36E-07,1.30E-06,2.03E-06,2.81E-06,3.43E-06,4.08E-06,5.11E-06,6.09E-06,6.10E-06,5.16E-06,4.18E-06,3.75E-06,3.99E-06,5.04E-06,6.70E-06,8.23E-06,9.48E-06,1.11E-05,1.38E-05,1.87E-05,2.82E-05,4.32E-05,6.25E-05,8.30E-05,0.000100005,0.00011584,0.000140292,0.000175435,0.000211148,0.000241695,0.000273235,0.000315729,0.000375983,0.000460841,0.000565297,0.000646833,0.000654113,0.000588959,0.000504245,0.000444211,0.00041459,0.000402215,0.000394429,0.000385213,0.000379051,0.000380451,0.000384663,0.000389345,0.000399954,0.000414879,0.000419454,0.000403659,0.000375115,0.00034838,0.000329665,0.00031593,0.000301577,0.000284605,0.00026905,0.000260683,0.000261085,0.00026759,0.000275778,0.000282918,0.000291678,0.000308879,0.000341438,0.00039037,0.00044539,0.000487195,0.000496617,0.000464658,0.000397747,0.000314206,0.000233909,0.000169021,0.000122353,9.16E-05,7.30E-05,6.24E-05,5.58E-05,5.05E-05,4.54E-05,4.03E-05
ch2stziv4a_1,1,week12,none,2.56E-07,2.86E-07,4.95E-07,9.46E-07,1.55E-06,2.08E-06,2.39E-06,2.62E-06,3.17E-06,4.13E-06,4.99E-06,5.37E-06,5.38E-06,5.16E-06,4.85E-06,4.80E-06,5.64E-06,7.74E-06,1.02E-05,1.17E-05,1.34E-05,1.77E-05,2.62E-05,3.72E-05,4.85E-05,6.21E-05,8.36E-05,0.000112082,0.00013624,0.000146345,0.00014675,0.000152141,0.000172222,0.000204752,0.000242353,0.000276127,0.000309197,0.000376962,0.000517168,0.00069894,0.000826142,0.000838011,0.00076002,0.000646742,0.000529849,0.000428262,0.000359067,0.000324634,0.00031216,0.000307236,0.000300786,0.000296733,0.000311114,0.000347588,0.000383515,0.000392289,0.000369712,0.000332406,0.000297613,0.000271325,0.000253015,0.000244036,0.000247265,0.00026092,0.000276808,0.000287868,0.000294879,0.000300312,0.00030196,0.000298598,0.000294977,0.000299649,0.000319168,0.000349778,0.000373915,0.00037015,0.000331179,0.000270045,0.000206958,0.00015443,0.000115261,8.77E-05,6.91E-05,5.68E-05,4.85E-05,4.27E-05,3.81E-05
ch2stziv3c_1,1,week12,none,5.72E-07,9.51E-07,1.23E-06,1.35E-06,1.42E-06,1.53E-06,1.56E-06,1.40E-06,1.15E-06,9.30E-07,8.68E-07,1.18E-06,2.06E-06,3.43E-06,5.20E-06,7.91E-06,1.29E-05,2.11E-05,3.15E-05,4.13E-05,4.79E-05,5.29E-05,6.16E-05,7.53E-05,9.03E-05,0.000105769,0.000130005,0.000171988,0.000230348,0.000297521,0.000370375,0.000447387,0.000510037,0.000532672,0.000518301,0.000490902,0.000461084,0.000432727,0.0004229,0.000452114,0.000530479,0.000646221,0.000755277,0.000812206,0.000821902,0.00082886,0.00085658,0.000886617,0.000902069,0.000924397,0.000985068,0.001071507,0.001131448,0.001143228,0.001140442,0.0011528,0.001178335,0.001207922,0.00123064,0.001246911,0.00128285,0.001349617,0.001414048,0.00143824,0.001426158,0.001414381,0.001422934,0.001432587,0.001411852,0.001347019,0.001241025,0.001107935,0.000971425,0.000850001,0.000747133,0.000657983,0.000577428,0.000503294,0.000435602,0.000374219,0.000319403,0.000273186,0.000237225,0.000209053,0.000182806,0.000154237,0.000123636
ch2stziv3b_1,1,week12,none,1.67E-06,1.25E-06,8.76E-07,8.56E-07,1.31E-06,2.13E-06,3.05E-06,3.75E-06,3.97E-06,3.76E-06,3.73E-06,4.55E-06,6.32E-06,8.78E-06,1.20E-05,1.57E-05,1.94E-05,2.19E-05,2.26E-05,2.22E-05,2.32E-05,3.08E-05,4.90E-05,7.39E-05,9.81E-05,0.000124427,0.000162895,0.000219282,0.000289144,0.00035759,0.000410004,0.000442038,0.000450738,0.000427573,0.000375124,0.000317921,0.000287723,0.000300291,0.000342717,0.000389234,0.000435879,0.000500363,0.000572169,0.000613343,0.000632258,0.000679205,0.000761577,0.000842855,0.00090693,0.00096276,0.001007989,0.001025541,0.001019564,0.001025,0.001061189,0.00109934,0.001105526,0.001088214,0.001075635,0.00109642,0.001185682,0.001347622,0.001525639,0.001654238,0.001714564,0.001723782,0.001702291,0.001652301,0.00156141,0.00142832,0.001270977,0.001111078,0.000967192,0.000851392,0.00075747,0.000667496,0.000573573,0.000482608,0.000404368,0.000342037,0.000293595,0.000255448,0.000223931,0.00019735,0.000174557,0.000152254,0.000127008
ch2stziv3a_1,1,week12,none,2.67E-07,6.09E-07,1.07E-06,1.37E-06,1.46E-06,1.55E-06,1.77E-06,2.16E-06,2.81E-06,3.56E-06,3.94E-06,3.90E-06,3.95E-06,4.39E-06,5.15E-06,6.90E-06,1.11E-05,1.82E-05,2.74E-05,3.83E-05,5.03E-05,6.38E-05,8.06E-05,0.000101056,0.000121525,0.000137792,0.000151573,0.000174876,0.000220858,0.000282516,0.000337213,0.000379251,0.000412406,0.000418983,0.000383212,0.000327362,0.000304102,0.000359576,0.000480309,0.000585815,0.000623581,0.000638921,0.000693008,0.000770051,0.000831587,0.000888371,0.000959467,0.001016649,0.001021133,0.000985381,0.000960464,0.000974315,0.00101081,0.001047729,0.001085117,0.001128985,0.001168742,0.001187823,0.001188159,0.001195341,0.001234782,0.001298018,0.00135808,0.001410708,0.00146355,0.001510813,0.001548253,0.001577571,0.001575197,0.001499535,0.001347356,0.001165984,0.001004432,0.000878987,0.000779585,0.000690412,0.000603338,0.000519104,0.000441882,0.000374841,0.000319475,0.000276171,0.000243324,0.000216798,0.000191481,0.000164257,0.000135187
ch2stziv2b_1,1,week12,none,6.34E-07,6.77E-07,7.59E-07,9.31E-07,1.48E-06,2.49E-06,3.57E-06,4.29E-06,4.47E-06,4.21E-06,3.86E-06,3.82E-06,4.05E-06,4.51E-06,5.86E-06,9.80E-06,1.89E-05,3.38E-05,5.03E-05,6.45E-05,8.01E-05,9.98E-05,0.000115663,0.00012155,0.000133443,0.000181739,0.000275168,0.000395956,0.000523113,0.000641201,0.000778042,0.001020748,0.001413521,0.001881162,0.002308272,0.002618372,0.002742764,0.002614313,0.002278029,0.001906026,0.001644465,0.001525641,0.001500441,0.001497271,0.001475591,0.001437057,0.001407155,0.00140774,0.001417524,0.001383418,0.001293763,0.001192282,0.001119132,0.001081201,0.001072551,0.001090644,0.001117474,0.00112096,0.001092535,0.001051045,0.001010657,0.000973378,0.000946539,0.00093601,0.000939509,0.000967206,0.001039071,0.001153438,0.001274173,0.001352559,0.001357893,0.001285263,0.001146012,0.000964624,0.000778252,0.000618876,0.000495694,0.000401598,0.000328042,0.000270161,0.000225772,0.000193169,0.000168969,0.000148926,0.000130669,0.000113586,9.71E-05
ch2stziv2a_1,1,week12,none,1.60E-06,1.56E-06,1.59E-06,1.63E-06,1.57E-06,1.37E-06,1.19E-06,1.40E-06,2.43E-06,4.40E-06,6.41E-06,7.53E-06,8.21E-06,9.45E-06,1.13E-05,1.40E-05,1.85E-05,2.50E-05,3.14E-05,3.59E-05,3.96E-05,4.45E-05,5.28E-05,6.72E-05,9.13E-05,0.000125605,0.000165575,0.000207914,0.000265382,0.000377708,0.000614675,0.001037032,0.001608582,0.002172281,0.002563615,0.002731378,0.002716485,0.002577334,0.002366032,0.002114206,0.001827516,0.001524665,0.001273968,0.001138843,0.001107802,0.001133566,0.001180975,0.001213072,0.001206178,0.001171771,0.001124764,0.001062838,0.00099185,0.000932757,0.000899138,0.000890798,0.000897307,0.000903789,0.000906578,0.000912922,0.000930783,0.000963091,0.000995494,0.001009513,0.001013906,0.001039377,0.001108038,0.001218553,0.00135102,0.001474348,0.001543229,0.001508472,0.001359655,0.001141988,0.000919885,0.000736028,0.000595921,0.000484118,0.00039037,0.000313744,0.000253706,0.000207689,0.000173239,0.000148215,0.00013013,0.00011614,0.000103021
ch2stziv1d_1,1,week12,none,1.55E-06,2.42E-06,3.48E-06,3.94E-06,3.49E-06,2.57E-06,1.83E-06,1.70E-06,2.54E-06,4.76E-06,7.99E-06,1.05E-05,1.12E-05,1.10E-05,1.19E-05,1.46E-05,1.91E-05,2.71E-05,4.06E-05,5.84E-05,7.64E-05,9.07E-05,9.78E-05,9.65E-05,9.58E-05,0.000122499,0.000203917,0.000329516,0.00046311,0.000604308,0.000808291,0.001131761,0.001507133,0.001747029,0.001760096,0.001665315,0.001641151,0.001742105,0.001907622,0.00202494,0.001971453,0.001727998,0.001424761,0.00121632,0.00114839,0.001157217,0.001156278,0.001112571,0.001057463,0.001033991,0.001041024,0.001044463,0.001024937,0.000982492,0.000931657,0.000904587,0.000910566,0.000911815,0.000874658,0.000809282,0.000753799,0.000742046,0.000782375,0.000859921,0.000961278,0.001096161,0.0012752,0.001466602,0.001600044,0.001619539,0.00152618,0.001367408,0.001190022,0.00101489,0.000852373,0.000710491,0.000585847,0.000472851,0.000375266,0.000298485,0.000241802,0.000200557,0.000170282,0.000148172,0.000131598,0.000117037,0.000101632
ch2stziv1c_1,1,week12,none,1.42E-06,2.08E-06,2.44E-06,2.30E-06,1.86E-06,1.48E-06,1.37E-06,1.46E-06,1.57E-06,1.71E-06,1.92E-06,2.26E-06,2.77E-06,3.55E-06,4.63E-06,5.67E-06,6.26E-06,6.43E-06,6.33E-06,6.05E-06,5.85E-06,6.20E-06,7.63E-06,1.10E-05,1.70E-05,2.60E-05,3.93E-05,5.73E-05,7.36E-05,8.05E-05,7.98E-05,8.07E-05,8.97E-05,0.000108391,0.000135066,0.000164583,0.000199208,0.000252895,0.000320077,0.000361059,0.000352923,0.000325923,0.000319197,0.000333138,0.000348506,0.00035757,0.000364649,0.000379142,0.000409535,0.000453791,0.000495176,0.000520078,0.0005312,0.000532836,0.000524618,0.000508592,0.000489217,0.000470828,0.000452679,0.000432803,0.000418639,0.000417707,0.000424782,0.00043099,0.00043648,0.00044974,0.000475536,0.000508225,0.000538614,0.000558289,0.000558243,0.000529891,0.000470166,0.000390003,0.000312238,0.000252569,0.000208513,0.000171898,0.000141476,0.000119419,0.000104814,9.45E-05,8.61E-05,7.83E-05,6.99E-05,6.06E-05,5.06E-05
ch2stziv1b_1,1,week12,none,9.20E-07,6.93E-07,5.99E-07,7.33E-07,1.19E-06,2.01E-06,2.92E-06,3.42E-06,3.47E-06,3.47E-06,3.77E-06,4.39E-06,4.90E-06,4.79E-06,4.18E-06,3.90E-06,4.51E-06,6.06E-06,8.69E-06,1.25E-05,1.66E-05,1.89E-05,1.97E-05,2.14E-05,2.57E-05,3.71E-05,6.49E-05,0.000107241,0.000141473,0.000147977,0.00013085,0.000107694,9.37E-05,9.45E-05,0.000109259,0.000142812,0.000210312,0.00030801,0.000391673,0.000420223,0.000403886,0.000384701,0.000392113,0.000426,0.000469333,0.000503748,0.000515977,0.000509649,0.000508107,0.000529784,0.00056469,0.000589086,0.000593615,0.000586365,0.000580393,0.000579468,0.000579548,0.000578224,0.000567332,0.000536502,0.000492535,0.000454502,0.000432841,0.000426568,0.000432147,0.00044519,0.000463419,0.000493388,0.000542876,0.000599002,0.000625511,0.000593583,0.000508239,0.000401547,0.000307269,0.000240417,0.000196117,0.000164524,0.000140805,0.000122839,0.000108247,9.60E-05,8.69E-05,8.05E-05,7.54E-05,6.99E-05,6.29E-05
ch2stziv1a_1,1,week12,none,7.63E-07,1.22E-06,1.53E-06,1.65E-06,1.80E-06,2.13E-06,2.58E-06,3.17E-06,4.28E-06,6.33E-06,8.89E-06,1.07E-05,1.12E-05,1.05E-05,8.98E-06,7.02E-06,5.34E-06,4.77E-06,5.95E-06,8.83E-06,1.24E-05,1.64E-05,2.14E-05,2.71E-05,3.42E-05,5.35E-05,0.000100699,0.000165177,0.000204186,0.000194567,0.000161731,0.000142879,0.000148095,0.000166834,0.00019097,0.000226231,0.000285531,0.000359339,0.000409097,0.000414997,0.00040267,0.000407394,0.000441728,0.000497051,0.000555797,0.000601005,0.000626901,0.000650262,0.000687098,0.000721846,0.000728105,0.000701386,0.000658665,0.000626181,0.000630297,0.000672807,0.000716645,0.000721503,0.000684337,0.000629696,0.000582832,0.000559383,0.000557181,0.000561609,0.000566642,0.000577987,0.000597526,0.000619927,0.000643113,0.000667458,0.000683148,0.000670417,0.000617334,0.000532724,0.000438835,0.000353347,0.000281609,0.000224232,0.000182371,0.000154448,0.000135159,0.00011948,0.000105379,9.28E-05,8.18E-05,7.17E-05,6.14E-05
ch2stziii3c_1,1,week8,none,2.94E-06,4.16E-06,5.23E-06,5.80E-06,6.36E-06,7.96E-06,1.03E-05,1.20E-05,1.28E-05,1.47E-05,1.89E-05,2.54E-05,3.55E-05,5.18E-05,7.43E-05,9.61E-05,0.00010653,0.000104035,0.00010409,0.000126525,0.000173251,0.000226155,0.000268633,0.000308496,0.000369098,0.000450905,0.000527536,0.000586934,0.00064909,0.000758127,0.001034002,0.00166981,0.002619857,0.00341229,0.003719706,0.003789029,0.003883786,0.003928161,0.003885304,0.003862629,0.003965612,0.004266343,0.004619252,0.004699843,0.004479948,0.004278023,0.004237128,0.004229063,0.004267264,0.004497897,0.004753449,0.004635876,0.004068311,0.003400895,0.003023202,0.003032333,0.003230839,0.003368296,0.003381722,0.00338495,0.003463814,0.003601938,0.003738906,0.003787198,0.003659769,0.003381227,0.003109657,0.002946496,0.002816619,0.002593662,0.002247818,0.001849222,0.001483287,0.001189779,0.000966733,0.000797927,0.000666859,0.000561744,0.00047625,0.000406492,0.000348919,0.000300051,0.000257372,0.000219966,0.000187408,0.00015867,0.000131978
