patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1stziv3b_1,1,week12,none,0.000438137,0.000390808,0.000333238,0.00028299,0.000264695,0.000289647,0.000342388,0.000399302,0.000459982,0.000541302,0.000629068,0.00068448,0.000720078
ch1stziv3a_1,1,week12,none,0.000376057,0.000376888,0.000351996,0.00031875,0.000318808,0.000392237,0.000524028,0.000636487,0.000681981,0.000708514,0.000777706,0.000872962,0.000955871
ch1stziv2b_1,1,week12,none,0.00152148,0.002069336,0.002571495,0.002943543,0.003099211,0.002951484,0.002550372,0.002110484,0.001824728,0.001733889,0.001758784,0.001798854,0.001810001
ch1stziv2a_1,1,week12,none,0.001718009,0.002297772,0.002739358,0.002998246,0.003078576,0.002985186,0.002759218,0.002460481,0.002119408,0.001766733,0.00147923,0.001324976,0.001294439
ch1stziv1d_1,1,week12,none,0.001803114,0.002077907,0.002082697,0.001959026,0.001908782,0.001996539,0.002174225,0.002336531,0.002330617,0.002090614,0.001741474,0.001475647,0.001372518
ch1stziv1c_1,1,week12,none,0.000125732,0.000146512,0.000180884,0.000217102,0.000249377,0.000294805,0.00035988,0.000412033,0.000424465,0.000419932,0.000430583,0.000451667,0.00046667
ch1stziv1b_1,1,week12,none,0.000100347,0.000106787,0.000123825,0.000153972,0.000214745,0.000311656,0.00041056,0.000466743,0.000475242,0.000470671,0.000487963,0.000537105,0.000605596
ch1stziv1a_1,1,week12,none,0.000187086,0.000196537,0.000217525,0.000259742,0.000324892,0.000390969,0.000430253,0.000445079,0.000466058,0.000518538,0.000609792,0.000724797,0.000828004
ch1stziii3c_1,1,week8,none,0.000439792,0.000483359,0.000460206,0.000399108,0.000348472,0.00034863,0.000416393,0.000533186,0.000642291,0.000690167,0.000688677,0.000699799,0.000753704
ch1stziii3b_1,1,week8,none,0.000420228,0.000492914,0.000528971,0.000523604,0.000508902,0.00051384,0.000543404,0.000588154,0.000632788,0.00066313,0.000687935,0.000736785,0.000808507
ch1stziii3a_1,1,week8,none,0.000362226,0.000389456,0.000404985,0.000420264,0.000455035,0.00052054,0.000603967,0.000670449,0.000699603,0.000708605,0.000729181,0.000765755,0.000788059
ch2stziii3b_1,1,week8,none,0.000450223,0.000526167,0.00056066,0.000551811,0.000529486,0.000516349,0.000516701,0.000530356,0.000553416,0.000573506,0.000590972,0.000632342,0.000706335
ch2stziii3a_1,1,week8,none,0.000361223,0.000365569,0.000367904,0.000379396,0.000410746,0.000473827,0.000560383,0.000634321,0.000669687,0.000679439,0.00070189,0.000751259,0.000793558
ch2stziii2c_1,1,week8,none,0.000434159,0.00054849,0.000654188,0.000727043,0.000779314,0.000891365,0.001133501,0.00145997,0.001714091,0.0017562,0.001581713,0.001290332,0.000988226
ch2stziii2a_1,1,week8,none,0.050246994,0.03739996,0.029899414,0.023310071,0.017611814,0.014840471,0.015129416,0.016584211,0.017759738,0.017957164,0.016751072,0.014489148,0.012160843
ch2stziii1c_1,1,week8,none,0.000812126,0.000927986,0.000933147,0.000849051,0.000763025,0.000729403,0.00074125,0.000770826,0.000801449,0.000825494,0.000828501,0.000804491,0.000781665
ch2stziii1b_1,1,week8,none,0.000588215,0.000754501,0.000929809,0.001011861,0.00097689,0.000907508,0.000870496,0.000860798,0.000885431,0.000975232,0.001091825,0.001144809,0.001100724
ch2stziii1a_1,1,week8,none,0.001185161,0.00134424,0.00144943,0.001481063,0.001471755,0.001460621,0.001465865,0.00148907,0.001528675,0.001571252,0.001598438,0.001606143,0.00159517
ch2stzii4d_1,1,week6,none,0.000371124,0.000465571,0.000532374,0.000601744,0.000729649,0.000906258,0.001055816,0.001104433,0.001027057,0.000874203,0.00073255,0.000643991,0.000593921
ch2stzii4c_1,1,week6,none,0.000475605,0.00053252,0.000581074,0.000673964,0.000829177,0.001011753,0.001137966,0.001134605,0.001004359,0.00082289,0.000676703,0.000597648,0.000553806
ch2stzii4b_1,1,week6,none,0.0002933,0.00041105,0.000510994,0.000578397,0.000666537,0.000797923,0.000883113,0.000831404,0.000679344,0.000530558,0.00044245,0.000408399,0.00039677
ch2stzii4a_1,1,week6,none,0.000363756,0.000405824,0.000458122,0.000512574,0.000582595,0.000726628,0.00096392,0.001191716,0.00127323,0.001172979,0.000963296,0.00074491,0.000586065
ch2stzii3c_1,1,week6,none,0.000130607,0.000140036,0.000146481,0.000160176,0.000196501,0.000265753,0.000356926,0.000432506,0.000453963,0.000426238,0.000398021,0.000407335,0.000444835
ch2stzii3b_1,1,week6,none,0.000193172,0.00020032,0.00019823,0.00019408,0.000197535,0.000212022,0.00023721,0.000272718,0.000313994,0.000352977,0.000393317,0.000450923,0.000524329
ch2stzii3a_1,1,week6,none,0.000167408,0.000175664,0.000189126,0.000213642,0.0002524,0.000295898,0.000330742,0.0003522,0.000364,0.000381409,0.000424913,0.000492966,0.0005559
ch2stzii2c_1,1,week6,none,0.002551857,0.001907644,0.00172323,0.001979929,0.002481141,0.002829678,0.002741579,0.002311003,0.00185615,0.001605957,0.001581534,0.001683971,0.001801827
ch2stzii2b_1,1,week6,none,0.000311643,0.000287967,0.000276391,0.000275189,0.000281355,0.000295255,0.000324875,0.000382048,0.000477813,0.000607066,0.000730893,0.000810296,0.000857766
ch2stzii2a_1,1,week6,none,0.000564772,0.000508575,0.000437596,0.000413703,0.000449111,0.000524,0.000623529,0.000740453,0.000861867,0.0009571,0.000978191,0.000912923,0.000810253
ch2stzii1b_1,1,week6,none,0.000517387,0.00052557,0.000555905,0.000588671,0.000597832,0.000587441,0.000579515,0.00058286,0.000583464,0.000571003,0.000557387,0.00054872,0.000528115
ch2stzii1a_1,1,week6,none,0.0001188,0.000163716,0.000191071,0.000198952,0.000202417,0.000203921,0.000192665,0.000168037,0.000142623,0.000130116,0.000138057,0.000161688,0.000185237
ch2stzi4c_1,1,week4,none,0.000149611,0.00018757,0.000218101,0.000241977,0.000259257,0.000276721,0.000311487,0.00037643,0.00046926,0.000575411,0.000674321,0.000744591,0.000771473
ch2stzi4b_1,1,week4,none,0.00010856,0.000122782,0.000134977,0.000148854,0.00017288,0.000207899,0.000259849,0.000357478,0.00052319,0.000719323,0.000863157,0.00091136,0.000884376
ch2stzi4a_1,1,week4,none,0.00011377,0.000114336,0.000124355,0.000149454,0.000184026,0.000229657,0.000312248,0.000459925,0.000656464,0.000835898,0.000935008,0.000934019,0.000862364
ch2stzi3c_1,1,week4,none,0.000521942,0.000574901,0.000642149,0.000696648,0.000718212,0.000703498,0.000671963,0.000640062,0.000607965,0.000586969,0.000632519,0.000823216,0.001132851
ch2stzi3b_1,1,week4,none,0.000400239,0.000409383,0.000422025,0.000451282,0.000496601,0.000552093,0.000602359,0.000626076,0.000624901,0.000652993,0.000804434,0.001117313,0.001465912
ch2stzi3a_1,1,week4,none,0.000573952,0.000570508,0.000563797,0.000548096,0.000519611,0.000485946,0.000460678,0.000452939,0.000462865,0.000489981,0.000555297,0.000691607,0.000878824
ch2stzi2c_1,1,week4,none,0.852965199,0.93177855,0.994191552,1.030803648,1.032940981,1.001843622,0.951700658,0.904900209,0.887349069,0.921542179,1.01241126,1.134265053,1.233827705
ch2stziv7c_1,1,week12,none,0.000160284,0.000255006,0.000349978,0.000398988,0.000386899,0.000338853,0.000292572,0.00027162,0.000273174,0.000279349,0.000281455,0.000283834,0.000286974
ch2stziv7b_1,1,week12,none,9.92E-05,0.000162038,0.000248694,0.000317783,0.000342147,0.000333687,0.000314822,0.00029719,0.000281711,0.000268084,0.000263124,0.000269754,0.000274007
ch2stziv7a_1,1,week12,none,0.000185091,0.00027109,0.000343796,0.00037983,0.000377549,0.000349324,0.00030884,0.000266038,0.000234093,0.000229809,0.000259642,0.00030671,0.000339148
ch2stziv6c_1,1,week12,none,0.001001757,0.000826104,0.000697926,0.000655014,0.000664569,0.000692623,0.000769147,0.000931848,0.00110117,0.001141617,0.001037406,0.000891981,0.000793216
ch2stziv6b_1,1,week12,none,0.000867285,0.000864283,0.000802768,0.000710864,0.000618479,0.000558881,0.000566981,0.000646573,0.000736139,0.000763007,0.000731025,0.000702949,0.000717396
ch2stziv6a_1,1,week12,none,0.001137445,0.00105494,0.000958133,0.000891047,0.00083452,0.000765924,0.000735875,0.00082722,0.000999363,0.001095761,0.001042978,0.00091093,0.000802783
ch2stziv5c_1,1,week12,none,0.000918828,0.001077665,0.001117204,0.00100698,0.000811467,0.000637535,0.000560195,0.000586891,0.000660468,0.000704759,0.000679796,0.000599863,0.000510185
ch2stziv5b_1,1,week12,none,0.000956832,0.001131735,0.001170265,0.001089357,0.000962348,0.000836214,0.000730127,0.000676839,0.000706699,0.000784604,0.000818665,0.000764961,0.000664873
ch2stziv5a_1,1,week12,none,0.000703981,0.00086379,0.001062491,0.001229038,0.001274435,0.001193627,0.001067784,0.000968646,0.000912264,0.000881313,0.000856783,0.000830038,0.000800395
ch2stziv4c_1,1,week12,none,0.00019552,0.000218804,0.000240652,0.000272532,0.000335046,0.000443525,0.000571727,0.000648846,0.000637574,0.000578422,0.000527576,0.000498017,0.000472935
ch2stziv4b_1,1,week12,none,0.000241695,0.000273235,0.000315729,0.000375983,0.000460841,0.000565297,0.000646833,0.000654113,0.000588959,0.000504245,0.000444211,0.00041459,0.000402215
ch2stziv4a_1,1,week12,none,0.000172222,0.000204752,0.000242353,0.000276127,0.000309197,0.000376962,0.000517168,0.00069894,0.000826142,0.000838011,0.00076002,0.000646742,0.000529849
ch2stziv3c_1,1,week12,none,0.000510037,0.000532672,0.000518301,0.000490902,0.000461084,0.000432727,0.0004229,0.000452114,0.000530479,0.000646221,0.000755277,0.000812206,0.000821902
ch2stziv3b_1,1,week12,none,0.000450738,0.000427573,0.000375124,0.000317921,0.000287723,0.000300291,0.000342717,0.000389234,0.000435879,0.000500363,0.000572169,0.000613343,0.000632258
ch2stziv3a_1,1,week12,none,0.000412406,0.000418983,0.000383212,0.000327362,0.000304102,0.000359576,0.000480309,0.000585815,0.000623581,0.000638921,0.000693008,0.000770051,0.000831587
ch2stziv2b_1,1,week12,none,0.001413521,0.001881162,0.002308272,0.002618372,0.002742764,0.002614313,0.002278029,0.001906026,0.001644465,0.001525641,0.001500441,0.001497271,0.001475591
ch2stziv2a_1,1,week12,none,0.001608582,0.002172281,0.002563615,0.002731378,0.002716485,0.002577334,0.002366032,0.002114206,0.001827516,0.001524665,0.001273968,0.001138843,0.001107802
ch2stziv1d_1,1,week12,none,0.001507133,0.001747029,0.001760096,0.001665315,0.001641151,0.001742105,0.001907622,0.00202494,0.001971453,0.001727998,0.001424761,0.00121632,0.00114839
ch2stziv1c_1,1,week12,none,8.97E-05,0.000108391,0.000135066,0.000164583,0.000199208,0.000252895,0.000320077,0.000361059,0.000352923,0.000325923,0.000319197,0.000333138,0.000348506
ch2stziv1b_1,1,week12,none,9.37E-05,9.45E-05,0.000109259,0.000142812,0.000210312,0.00030801,0.000391673,0.000420223,0.000403886,0.000384701,0.000392113,0.000426,0.000469333
ch2stziv1a_1,1,week12,none,0.000148095,0.000166834,0.00019097,0.000226231,0.000285531,0.000359339,0.000409097,0.000414997,0.00040267,0.000407394,0.000441728,0.000497051,0.000555797
ch2stziii3c_1,1,week8,none,0.002619857,0.00341229,0.003719706,0.003789029,0.003883786,0.003928161,0.003885304,0.003862629,0.003965612,0.004266343,0.004619252,0.004699843,0.004479948
