f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071
801.5974425,944.399108,1205.636075,1382.052239,1308.288101,1031.380405,719.7843523,501.2557222,408.1251506,395.2070279,393.0893538,368.0439591,333.0529281,314.3049496,318.0111892,329.1873308,340.6974664,360.082731,377.9731634,369.064877,331.0848355,289.3007565,263.7977121,251.465596,238.9342771,220.387961,198.5129597,175.6443105,152.183121,130.7983602,115.8622843,109.1323596,107.0307378,102.2662775,90.27107086,73.05726904,56.53499251,45.03088449,38.24533599,33.44288671,28.94367307,24.43925047,19.84059202,15.18284374,10.87622855,7.395765632,4.921144116,3.34234655,2.412320579,1.87530487,1.555318415,1.366785004,1.27091547,1.240718938,1.251330239,1.287418147,1.349343196,1.437161947,1.537270815,1.644059846,1.773332994,1.947377698,2.203343622,2.615562679,3.25942615,4.053622963,4.711454421,5.048350802,5.190344944,5.348469555,5.568747563
523.0163761,483.4329312,404.1905842,305.4399611,221.009002,163.8739016,129.0346132,110.5931209,105.6204542,109.1434742,112.0723042,109.1795724,106.5556484,110.4262166,115.8286859,115.6388451,110.1636225,103.6712762,98.83849111,95.74092674,92.50920046,87.19102588,79.42119258,70.14641238,60.898001,53.02348139,47.20498798,43.27310599,40.12964598,36.48991844,31.73346366,25.99976952,19.90215494,14.36961377,10.24638547,7.833605956,6.890990727,6.789986889,6.752742409,6.316906222,5.570357101,4.809186821,4.113513734,3.377373555,2.58145808,1.862685404,1.355437562,1.076194426,0.952671072,0.898768831,0.864670497,0.844217281,0.852276721,0.903011168,0.992247807,1.098116252,1.205513156,1.312830651,1.421325143,1.53198764,1.649661488,1.79358347,2.002547795,2.339973624,2.888764429,3.615282429,4.271179318,4.660329073,4.865882062,5.073229664,5.35872057
388.1663595,447.8185354,451.2165139,385.2137356,287.3269787,200.4159389,143.8487747,115.4982668,109.3810033,119.841837,132.0405885,130.089749,115.6191657,103.62301,102.1483572,105.4602239,106.5818063,107.2657846,111.8818769,119.2263544,124.0715515,121.7361902,111.6061209,98.64207533,88.54142132,81.90174074,75.70454968,68.50617258,61.16109298,54.01191686,46.57827898,39.39361031,33.59595455,29.21692127,25.55212469,22.30892541,19.52960588,17.10600688,14.84787393,12.78459199,11.05128506,9.538864769,7.980036527,6.338470015,4.891053145,3.916744715,3.411930345,3.167381,3.018386094,2.893663489,2.747818552,2.586375486,2.465053651,2.421217188,2.458260343,2.566997068,2.729172297,2.907327098,3.066783009,3.214726237,3.387867346,3.61470631,3.908462397,4.357755101,5.228279412,6.57676458,7.769146812,8.090175477,7.593427107,6.847411247,6.266941521
143.0359504,128.7682286,99.87942459,70.99874827,51.17455928,40.7613112,37.10441392,36.40940208,34.98649899,32.17039395,29.85733937,30.0421186,33.71604953,39.52900912,43.76551205,43.39247214,38.40561927,31.50999271,25.82952458,22.97154222,22.99055176,25.02212947,27.80010764,29.93926529,30.35708016,28.86806787,26.13638711,22.96572116,19.71938542,16.69021239,14.50190728,13.30759126,12.38578679,11.22473758,10.08656469,9.247007953,8.561350569,7.830663046,7.038662808,6.249984283,5.506141342,4.800720045,4.110000115,3.43974241,2.849583777,2.420792292,2.181876017,2.075774022,2.015677669,1.955416357,1.891510457,1.847862248,1.856135674,1.925433591,2.052963657,2.234615092,2.458348385,2.706425397,2.959179504,3.2082957,3.477195531,3.803558652,4.454789113,7.293141423,16.45127065,31.91327344,43.83655692,43.1550796,32.54803376,20.59764075,12.32649563
41.7713085,46.15621287,53.07776638,57.7796351,58.11507993,56.28814591,54.49640419,51.83016461,46.59484419,39.98874247,35.59510057,35.31201216,37.53155968,39.7153168,40.56141306,39.55539121,36.58824117,33.65988724,34.26759806,38.4346727,41.84325808,41.55007216,39.01532477,37.01940839,35.94743816,34.41953105,32.00145123,29.29847266,26.93416048,25.04450546,23.05440841,20.41365709,17.3060478,14.33913707,11.98505201,10.42042823,9.561636062,9.025723827,8.322024145,7.291991422,6.192367249,5.335480206,4.829609319,4.606315397,4.47327284,4.188859111,3.663504037,3.037845222,2.510976293,2.185049223,2.047693908,2.01296518,2.007500903,2.045084817,2.199533411,2.495794237,2.840314149,3.096601331,3.222373207,3.28634931,3.375158513,3.556633949,4.201167448,7.397603333,17.47270088,34.11890407,46.69356949,45.73108297,34.34670161,21.7506096,13.20917223
168.0005921,131.3473516,105.0415548,90.67936949,83.01474119,78.39603171,77.54798239,79.6132986,82.04021295,85.20256429,88.5799782,88.02298923,82.09971879,74.27828839,67.73748307,62.44403674,56.65216351,49.51337252,42.96475852,40.10418806,40.99426174,42.44084628,41.70440377,38.30679691,33.47400038,29.15410481,26.56387717,24.93630792,22.62864978,19.36873493,16.33924411,14.51314092,13.80853085,13.41789823,12.56210925,11.30668975,10.4017086,10.16409437,9.997742578,9.231796339,7.965134295,6.73138073,5.784886064,5.04603742,4.400505365,3.825472295,3.326859001,2.886519529,2.512109701,2.239733093,2.086496315,2.063541484,2.178676273,2.400131115,2.65528377,2.868763453,2.997387214,3.037700762,3.03077569,3.053493135,3.138666251,3.245943452,3.623578867,6.103142319,14.51470569,28.68909292,39.49794217,38.75837743,29.07341874,18.31123279,11.00089617
47.30740813,55.42930496,63.7587528,72.37130241,80.37772442,85.89314192,86.43422103,80.05606386,67.82403363,53.65152254,41.60314577,33.6853204,30.46880176,32.40605928,38.10083989,42.72805898,41.82989484,36.13308409,30.98365643,31.23952013,35.91537192,39.17026157,38.31486737,37.13801199,38.9422579,41.22675557,40.75163668,38.11698833,34.51470922,29.67114581,23.93025204,18.69768037,15.00406328,12.87682686,11.68201631,10.64255274,9.331516757,7.838542617,6.530303809,5.710084161,5.335093161,5.055397314,4.62846767,4.133452389,3.726925527,3.407656001,3.10793879,2.836327627,2.634260272,2.490596464,2.357507853,2.223091147,2.135216923,2.151791164,2.276197808,2.447351358,2.602960198,2.739561074,2.898593791,3.104662849,3.345906507,3.633404891,4.234084637,6.732057414,14.53204358,27.53037236,37.45524561,36.79886635,27.92895166,18.08788633,11.4475603
70.88218535,56.52015443,45.17873651,39.63491627,37.97870843,36.12480416,33.95049103,35.39311843,41.64595358,47.85341302,48.83004617,44.29937055,37.59334557,33.28087053,34.79107828,40.36190009,44.70560413,46.12780311,46.0273598,44.37038448,41.554236,40.22379209,41.10214011,41.18837628,38.78578206,35.56794674,33.16488485,31.42517222,29.72952219,27.98630196,26.15600254,23.93845472,21.06599848,17.57529579,13.90816913,10.66544138,8.204659401,6.545392993,5.489395597,4.75860371,4.165947881,3.685045078,3.331252118,3.063385771,2.838122167,2.644768459,2.470679654,2.312222188,2.203636649,2.183526129,2.22171874,2.239628414,2.216855512,2.201571609,2.232187654,2.316183773,2.45272773,2.623470654,2.776635376,2.858616228,2.877474125,2.928849841,3.374498884,5.901911059,13.95263137,27.26908326,37.35098465,36.64745228,27.63239513,17.59893447,10.71374001
322.6016992,189.7542737,121.9702947,99.90295235,101.8110085,107.2914003,103.1588234,88.35949727,69.49807542,52.96762015,42.29523363,38.42938625,40.50563539,46.47786024,52.31774898,53.41351612,48.72702143,41.38214783,34.90547894,30.59388332,28.33602852,28.04315261,29.0745799,29.95919484,29.72356207,28.46248081,26.86928282,25.57762973,24.60450029,23.38503324,21.29883346,18.3568837,15.29305311,12.74457004,10.77103236,9.21944549,7.978079991,6.913606914,5.932382736,5.069167286,4.416130684,3.987203278,3.689839281,3.449973892,3.287178401,3.235463744,3.268977878,3.304400164,3.236327767,3.028323131,2.76129525,2.547594395,2.446661095,2.469160748,2.607720935,2.843466901,3.136448808,3.44221045,3.737846871,4.037337445,4.393424922,4.840265169,5.579182673,8.309819635,16.87740394,31.22176053,42.12312535,41.17860027,30.96882239,19.543243,11.64643862
43.83691648,40.84361232,33.36154809,24.30732704,17.93130228,16.923604,21.09166972,26.95316109,29.73415459,27.71373144,23.28319349,19.48479193,17.5403749,17.21771412,17.3842812,16.6514009,14.79781771,12.86340411,11.65797821,11.03284095,10.69928087,10.93499153,11.81598832,12.46637134,12.00576102,10.67793537,9.282537872,8.155191618,7.245020955,6.563051993,6.176578951,6.005270239,5.803151421,5.400157761,4.883382807,4.411379148,3.994600221,3.585591546,3.255231016,3.135007193,3.232398777,3.403553117,3.485481613,3.4431079,3.40686892,3.564645724,4.022654547,4.780222828,5.832841771,7.281328745,9.326271849,12.21533744,16.28137634,21.78329497,28.54528221,35.8534469,42.54382505,47.41249818,49.9377265,50.71532292,51.17551247,52.39496273,54.22742133,56.10219708,58.32490671,61.65954545,65.98494353,70.40519609,73.93840173,75.87146239,76.16452651
105.802181,102.1049187,85.57803457,64.2247815,45.81009414,33.29879686,25.47924647,20.36372682,16.72322073,14.40704999,13.89414482,14.92645078,16.06511523,16.26833766,15.92533819,15.66600342,15.43654017,15.45969792,16.6200152,18.76565156,20.26347154,20.0419123,18.68278429,17.29669445,16.22049254,14.93766958,13.172934,11.59484866,10.88660398,10.73768448,10.36961557,9.526775435,8.4709057,7.511128781,6.8063896,6.282510928,5.720204407,5.033269541,4.358194789,3.857874638,3.554550148,3.376426813,3.279530294,3.261890738,3.311710845,3.432391284,3.694191249,4.186790931,5.001300418,6.331505754,8.473567569,11.6163823,15.68059004,20.44645997,25.85335263,31.96357734,38.44258793,44.23192468,48.1168197,49.6693169,49.52517026,48.96361257,49.10617881,50.61561704,54.11151807,59.55533152,65.37322053,69.75034873,72.20876987,73.20492351,73.19125153
100.4975522,87.19790938,76.88304627,66.21054569,58.02292843,58.59331594,65.36590167,68.26753,62.57863693,52.37242873,43.23015177,37.65871335,37.01231266,41.62506594,47.38382247,48.11945745,42.69746456,35.65592037,31.50115887,30.89568515,31.82173493,32.63846661,33.07457975,33.59297843,34.10956287,33.60282508,31.90084224,29.99806322,28.22437101,25.91177227,22.93859686,20.20853702,18.28413761,16.59644716,14.59308854,12.60575249,11.00749158,9.605431635,8.14386186,6.678360964,5.401783228,4.439510433,3.828476772,3.543010675,3.508116958,3.665780048,4.037805645,4.649871192,5.490785975,6.679587651,8.593555992,11.73568434,16.38412982,22.36916335,29.00043937,35.05551181,39.48231677,42.19000326,43.63918868,44.10785324,43.83563782,43.4496039,43.97296828,46.69823145,52.4629993,60.02413136,66.30747867,69.47466812,70.29079831,70.3701605,70.45365123
36.23488512,43.55441257,50.0856012,52.72106924,50.13685244,42.8239418,33.4198023,25.39728882,20.46483236,18.02392523,16.68653421,15.75239589,15.22279257,14.66993795,13.34261485,11.33884239,9.543760001,8.668649548,8.69003433,8.90700524,8.695535208,8.309005513,8.367486148,8.737759619,8.817457818,8.522466221,8.091865882,7.526861335,6.82975009,6.196525139,5.743936157,5.407308361,5.08006331,4.680069752,4.188830417,3.683271466,3.265389658,2.974840708,2.785445469,2.673681423,2.658057096,2.740939234,2.859768557,2.965414947,3.119541505,3.431571882,3.904083111,4.459390966,5.146725445,6.185653551,7.754263151,9.852874921,12.43206989,15.56249985,19.36286527,23.78732598,28.54489844,33.17253444,37.0647955,39.76873192,41.49100137,42.86319674,44.30285462,46.3577654,50.32768874,56.4973536,62.22135104,64.6971487,64.27569714,63.09404349,62.42078202
179.9847401,149.929361,128.6218698,124.5165893,132.0631963,133.3885683,118.853696,95.39491373,75.2473603,63.10177198,55.02641597,46.59085798,38.17210057,32.03050174,28.20535018,25.32126127,22.79306562,20.78711008,19.13264844,17.17689119,14.74078584,12.42541469,10.70057095,9.433946404,8.350593132,7.404885868,6.772676792,6.553825377,6.543477707,6.435136673,6.133826686,5.770418035,5.460144869,5.194547745,4.953154951,4.769479802,4.692417486,4.739577541,4.855495046,4.861884105,4.599189434,4.142761931,3.722670717,3.499328818,3.520053146,3.810455013,4.377120296,5.19412054,6.274443463,7.649858322,9.285378244,11.15656072,13.45020898,16.45632681,20.2023168,24.45637771,28.96867957,33.30683917,36.73415518,38.75737319,39.5653304,39.74149439,40.0305132,41.6929952,46.51436296,54.45013022,61.60712961,64.09121437,62.46324122,59.96068171,58.56031672
100.8068352,89.87726477,92.92662022,104.6337453,110.8065394,105.3155305,93.46419436,83.19125532,77.48976762,73.64238569,67.97055429,59.91363356,51.46268994,44.50416309,38.69822712,32.57258655,26.2078367,21.02708927,17.87578245,16.5536374,16.50783242,16.87322893,16.47394349,14.83895968,12.66428174,10.78364623,9.446033493,8.633231044,8.332755955,8.419242916,8.628320948,8.69786416,8.493806176,8.063701414,7.513982515,6.863597211,6.104712188,5.323603905,4.650725243,4.145108402,3.787894457,3.557938675,3.482049364,3.608374758,3.944409999,4.443883371,5.068567785,5.824098629,6.804303305,8.304309157,10.73794605,14.49333885,19.91891449,27.04590112,35.50465228,44.64449957,53.30130451,60.20155017,65.10591458,68.79040887,71.68299588,73.34601154,73.85568841,75.24530539,80.5453018,90.01139314,99.6146113,105.8569848,109.1757841,111.2163672,112.3311372
297.2219784,260.4800924,216.4291018,187.1803966,180.354097,195.9828561,224.0619003,235.3559849,209.7552084,161.9331618,120.697074,98.60091777,89.27059366,82.65133599,74.03449549,63.89201335,55.2634007,49.71983243,46.07454843,44.11743561,45.29652053,49.00316288,52.12725433,51.85295705,48.23414653,43.82562286,40.21251194,36.65269306,32.08768932,26.81984307,21.99251138,18.26900334,15.55030672,13.55452105,12.11649136,11.15907913,10.68514621,10.59687581,10.49554779,9.94209118,8.899465633,7.720765496,6.769991652,6.195209444,5.949437927,5.887918911,5.973403577,6.391228339,7.342499574,8.837214231,10.80332394,13.3324673,16.69808246,21.18923111,27.12502332,34.91768958,44.59442487,54.90009208,63.15793728,67.04826212,67.17709932,66.76730032,68.49056444,72.85425205,78.88353045,84.95088334,90.04950356,94.78235337,100.0450424,104.9631109,107.2457926
238.160177,195.7984152,158.5249268,140.6140739,148.3175787,169.3350354,185.3411322,187.3803803,177.5495493,160.5697118,137.1636825,109.4073972,85.19430675,72.46527274,72.43213183,79.64767416,86.73949754,87.88309245,81.68088141,72.0774306,64.59219719,62.21917071,63.12787736,62.19978786,57.18998404,50.69138988,45.34150039,41.17185822,37.4986303,34.13506605,30.71028883,26.6462804,22.0294165,17.73617896,14.50135067,12.22470598,10.40453079,8.84076557,7.614042629,6.688150066,5.862211134,4.999350907,4.130086601,3.381401795,2.858180628,2.574374861,2.44738121,2.360246388,2.262675483,2.174430607,2.104679143,2.04506318,2.018845759,2.065925599,2.194640686,2.405588253,2.714819967,3.123453237,3.597903718,4.054154729,4.381308019,4.523707089,4.52738355,4.499124676,4.524697499,4.605321141,4.677124614,4.699020687,4.669361248,4.592758934,4.482986908
262.2967999,201.7702328,153.7212301,125.4218634,117.9093754,122.290607,126.1774677,122.8122543,111.6854445,95.48959498,79.82818689,69.60546272,66.53030176,73.2274119,92.4209757,116.9787831,133.2623005,140.5621474,148.9914591,156.9123849,152.3594589,132.9066325,108.5539776,89.13324446,75.50256311,63.72174398,52.93283864,44.9563172,40.24034966,37.58602312,35.52882064,32.82121612,29.05178803,25.15384351,22.29215432,20.49616365,19.05413678,17.49335875,15.66040066,13.49068821,11.0647319,8.711797491,6.774987074,5.326702251,4.298004962,3.629567021,3.214950422,2.918131734,2.661490841,2.435344623,2.264966295,2.185510236,2.229068547,2.401384967,2.638328864,2.838878041,2.984483981,3.148092955,3.37630637,3.670876185,4.042059496,4.453974212,4.792552036,4.98100669,5.05395944,5.064566094,5.015369268,4.940009459,4.902551186,4.883192033,4.810659199
