health.status,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013,f_000014,f_000015,f_000016,f_000017,f_000018,f_000019,f_000020,f_000021,f_000022,f_000023,f_000024,f_000025,f_000026,f_000027,f_000028,f_000029,f_000030,f_000031,f_000032,f_000033,f_000034,f_000035,f_000036,f_000037,f_000038,f_000039,f_000040,f_000041,f_000042,f_000043,f_000044,f_000045,f_000046,f_000047,f_000048,f_000049,f_000050,f_000051,f_000052,f_000053,f_000054,f_000055,f_000056,f_000057,f_000058,f_000059,f_000060,f_000061,f_000062,f_000063,f_000064,f_000065,f_000066,f_000067,f_000068,f_000069,f_000070,f_000071
disorder,75.41833714920999,57.893623118060006,52.000505951406915,54.283121978525344,64.69372005065597,75.79787874294766,76.73200439699994,65.2966607881919,48.208908414866215,33.61930803756021,25.9566407434178,24.62791634440405,25.367891297391022,23.977582124258042,19.763324139087047,14.892737431306353,11.256908423214657,9.079091767148991,8.00112207605919,7.8384502962432325,8.118226451065242,8.263638329255754,8.204699277862739,8.190679776317397,8.486837373125242,9.120939657085014,9.648748667179671,9.523683249657145,8.576614091375077,7.0964008644142265,5.607708157638157,4.515227990734336,3.8796831262351192,3.5150376158758614,3.2629426762578437,3.111969398467373,3.0442911120466163,2.9341165900206936,2.6987283559384654,2.3828700339020394,2.0712884044526487,1.834560486459368,1.7165181307071475,1.70212244903253,1.7079680630698222,1.6577902218661558,1.5726138546104769,1.5526345331315332,1.6716728418841662,1.914778461650032,2.2425957234365685,2.6740811479964943,3.244119544407293,3.93072132999456,4.691799700315152,5.549941553074393,6.58680627260736,7.867748146799602,9.437935902441213,11.312386293096425,13.384595152030561,15.484385805709689,17.481701634916313,19.252137270144434,20.809406825684725,22.551134336792877,24.965410919620513,27.86848297618392,30.26531196944084,31.225447848514012,30.69200342143601
health,439.79341765163286,498.62677282120734,508.3245678563822,514.9608850364054,521.9127111521096,520.971616909411,538.5333453694916,598.1104888318482,665.4571150419024,675.0312421069804,609.1902346232188,518.2810899411886,456.66138666678177,430.28231479717385,421.0025526841964,421.9624573374268,424.9779815914666,411.1239023319845,376.1206055663352,340.6379925362499,322.97504492690217,321.4181631178392,324.1742125677293,318.4006584090389,296.7720058076628,267.8835073232725,246.91745356498464,233.8911217377853,217.2006332884793,193.0684670137232,167.24453136023732,143.7668625842626,122.23953175333216,101.9878327965198,83.4702409701715,66.90596206279604,52.049365448026,39.198406420885156,28.870171358777103,21.036562011447593,15.280346276324835,11.145805981679132,8.253273274280799,6.287429836348005,4.985437108799776,4.183167190249701,3.8031784402804263,3.750791959330445,3.886849212618264,4.139904907638344,4.530745159321215,5.077469775479509,5.762893023291202,6.514463191508875,7.249191595630077,8.04752659639554,9.096202147737824,10.388391053438843,11.6844531228829,12.750129432170766,13.490040931604964,13.958006111234178,14.393450337007685,15.351155161023009,17.635890800637466,21.075065245279273,23.705412313022336,24.03703739144825,22.94621139007709,22.09722017801385,21.969816139518986
health,258.4038463792598,328.53187175215805,397.3401722594423,435.0905406534077,437.8465723988335,416.8468669260356,401.4910390299825,414.08209676427117,445.74206513052945,469.3421749416083,463.9847938033457,433.05877826899683,391.13246206119743,344.59286173682915,301.2645519669785,272.7245928486118,259.86169584680846,255.307884603816,251.48522142144085,240.9196787071561,221.2071901751566,200.8267093321881,188.88395816273362,183.47777838250647,178.69816332364712,171.8402685052528,161.1992814207097,145.41806657690438,126.09137884408405,107.04620690679589,90.73976129480022,77.72759109093944,67.646780624954,59.120604330407325,51.035277128075215,43.38522945921767,36.2579053627721,29.508929171064768,23.23852508900243,17.779760942565282,13.323858398617409,9.846565099165668,7.247919031308974,5.408840593915715,4.187633029986221,3.464478157242069,3.1593418579776933,3.1959221089606333,3.4964338746730177,3.9843905356288953,4.580781040187676,5.281431593394157,6.20654703466315,7.583740973224633,9.748127236998911,12.955344626967314,17.26868049854661,22.66410282525991,28.594617889023162,33.64947974409187,36.70032609852852,38.101621045255214,39.11250496072722,40.791504205452775,43.72710269730056,47.45364400613297,50.036730501623296,50.05628367764029,48.19052936691337,45.87727044825915,43.791353776654695
disorder,32.94434069604002,35.81903299132532,39.40173422250022,42.61107502778623,46.3116711066072,51.53571412415185,54.80497168735978,51.12389964197129,41.24320037913334,30.37212478736357,22.488513733395585,18.99543144084543,19.558611312658265,21.91268134989625,23.030992813610037,21.66449534126211,19.061987378006624,17.285324672379538,17.051352580095852,17.314010458165065,16.982685397016617,16.013398941266765,14.618344534388411,12.876560320641312,10.989870882830708,9.175718551337301,7.598239802302432,6.396752499190017,5.617605447513098,5.222254374895704,5.076032055070027,4.926795210835813,4.613279595519127,4.202983785338536,3.8397542891222702,3.6920865848243536,3.8971007188208833,4.300243609292615,4.562723639395478,4.559196826562281,4.396136459192329,4.168369644901184,3.867933267724528,3.480615818132889,3.0975047835530014,2.8960648071738992,2.9973186202418924,3.354123031964372,3.7954049533757694,4.198487760691013,4.5920308525693425,5.077938191755886,5.696077705566763,6.4025400281468725,7.175180199227625,8.054684289207803,9.038678465009466,10.01775587443156,10.898406669101693,11.661776369119318,12.227923683293099,12.464132173546682,12.4427900907548,12.459835581311731,12.739265221719911,13.255172452316284,13.7889970701735,14.108012561740908,14.089354936880234,13.741498098827233,13.217618503975643
disorder,629.1153805156573,653.0037401772337,643.9763001165505,638.2116523573789,658.6548060684025,700.4647568306619,746.9704140800717,783.1774545829927,809.1811859553512,852.0234912489705,982.3116105779302,1246.0504149812855,1541.8073685314816,1742.1613429033448,1862.808223034396,1945.0151966243195,1969.178691252785,1913.9407450142533,1780.196737567365,1626.1141451294345,1551.2871586268134,1600.928244513339,1723.2482523127594,1812.892186870166,1799.2593560123576,1699.4620240633178,1589.4674555434024,1530.9675194885112,1516.0145768077716,1478.2034583550276,1376.0526370918515,1243.7904890699492,1126.9805969502306,1020.4340318191043,898.9801534740053,764.2154295102239,633.0973666246841,512.1573068086878,402.6489061200641,308.3194976660313,230.8365644843359,168.45096889871618,119.31020892385452,82.155284265282,55.42991832481618,37.17763632473655,25.45441877528574,18.620023165710197,15.332499310023794,14.633288526446847,15.907079831809066,18.558932626577725,21.97270174930306,25.74229239148078,29.64871757157936,33.49639828464596,37.03061948615125,39.900058226444784,42.01451375590916,44.00109606141692,47.0255725392979,51.88459493635023,58.24044216897249,65.32805924328112,72.6104864084304,79.10874077183415,83.40626840610018,85.00137650209335,85.12146432583067,85.77165423554375,87.88455730036065
disorder,762.8508349129646,837.7864515564377,882.5130539309594,827.3441216557268,695.4721032285762,557.1277194134516,449.0426323511078,364.75265568623763,289.77149446954184,225.76345111847428,179.8322703018506,148.2901518121848,121.50389537963284,96.86611154194469,78.4400410856247,66.83094010105536,57.45000016109946,47.472569251226425,38.094746714210636,30.813284303594976,25.70362712061284,22.510212467804084,21.38074331498724,22.52971021089991,25.388266329991822,28.22113485806231,29.03286614674569,27.03017840069811,23.064863931469056,18.684548126751853,14.9398232769189,11.955740441933616,9.401819944276845,7.167426486132428,5.433694818996037,4.330732675993809,3.7404489359356803,3.3976756966003974,3.087617791090301,2.735169611387425,2.352877100372424,1.9662700355334024,1.6098819605756047,1.3342576250136378,1.183122489265379,1.1599519257308553,1.219788591642439,1.310597763730432,1.4162697968540223,1.560210456166988,1.7774979001782587,2.073639580129063,2.4244351036068905,2.8415822782768987,3.3607920442091994,3.950380830489464,4.5640946529262365,5.229798014989196,5.987532630679972,6.809292609574169,7.648060742121028,8.540663424299183,9.544606571716935,10.589746611821898,11.503648995982092,12.132497127954707,12.450888997055714,12.630087768038642,12.81930196444612,12.887047586480492,12.653322168963106
health,1106.6514469860228,1012.3452718180788,783.7079039976843,520.3323018207373,324.5117435239718,235.097286021416,230.4580691593576,257.8604045257422,270.9227972555565,257.9857506984256,231.44862563226886,202.4423686546237,180.92251210862113,177.29653656551793,187.07056374772282,197.29250982694091,205.91502363454015,216.24843658429702,223.42914034054948,219.37526363787708,205.0680979524141,188.08330507925785,172.1572081951077,155.3352823674309,137.685388785227,123.90492486570038,117.21287542148212,114.62597189847807,110.01501272898987,101.26307467048971,90.79218659647678,80.97957002321952,71.98178536963928,62.91758045064831,54.0381019071653,46.501079641310405,40.46975360201413,35.197497106287386,30.242842720439054,25.65628703855113,21.75461210717151,18.809199246721306,16.61159630394813,14.681688288877552,12.8458555105892,11.261063706514626,10.029032589586636,9.092658010245188,8.393467764606246,7.902112008425231,7.605034390048963,7.6227345947404626,8.145994699891885,9.199318921447114,10.614189827522543,12.152491884406205,13.642941007179994,15.049780072553398,16.33758884043651,17.40837188076429,18.33620557571603,19.52324202111909,21.340247169675685,23.684620275175405,26.06619342416511,27.978069245230433,29.311619976281747,30.337169142878707,31.21799964636415,31.819334595159372,31.94617350861026
disorder,272.208803647063,246.82589975940223,238.5344876897664,226.1979710769765,197.83090927263046,166.73850714939292,149.8434544332931,153.6140850489787,171.15200647311497,183.75978721582214,178.1908519072849,158.6994546437376,138.14218588052617,124.67968269887407,116.84306005854748,108.60349577151648,97.21508779928922,85.52815900211469,77.98307663114728,74.76547312379456,71.24798842668534,63.76658807263376,53.28400654917697,42.96640812353361,34.916144943927385,29.445636179950398,25.69402754134732,22.47478019931716,19.303937269887463,16.656190273408622,15.027827569285126,14.159131334219866,13.454659433096257,12.716376598421721,12.080293842585073,11.566572971691127,11.047043814585876,10.407496036842632,9.500433432370404,8.235365028191472,6.760934401742202,5.387099070071376,4.325454253466972,3.576258969349733,3.0723441490216614,2.7887357059427056,2.6906638882697984,2.7370153797910604,2.955253552303528,3.436451807199368,4.335306273573649,5.9699568303156605,8.670224315081683,12.2031085196366,15.667158958411505,18.24790412025765,19.60393647363729,19.602974949504066,18.517393228346407,17.19325187296771,16.44717552227041,16.650686826217502,17.971524993033054,21.199871262951106,28.169474691831194,38.286484148764096,45.5938395278201,45.0660224007075,38.684980182826266,31.706710796136388,27.070355338440514
disorder,0.2034778890681607,0.21843108226351907,0.2345394465263517,0.25190537135423385,0.2706433272395624,0.2908819251818578,0.3127664427160368,0.3364619429075138,0.3621571522952183,0.39006931754425017,0.4204503345365617,0.4535945465579387,0.4898487533027732,0.5296251796894675,0.5734184540825468,0.6218280886052746,0.6755886190025379,0.7356105784568114,0.803037069123078,0.8793232389300648,0.9663501522897332,1.0665916249897414,1.1833650051513631,1.3212195103324946,1.4865589341150718,1.6886826886766524,1.941617194274457,2.267551418017586,2.703853812350234,3.319370754729397,4.2771276137971785,6.910088521675289,30.60872468740721,212.189911049926,922.0460249791291,2320.990817484509,3640.5589927561305,3856.634377246006,2965.275713748753,1760.942865746052,851.8436877467154,351.3017542223152,129.19924421667505,50.89079392979332,50.21331503798646,98.46608997316774,150.8462527163839,161.27409473047032,151.64380862364115,311.007358868203,1031.8847176372194,2376.5529454418233,3504.222251558821,3529.848417162445,2610.923945239647,1523.1372851834094,773.8813746021144,463.0305646632905,514.3922517192822,728.2820290425111,878.5871078564599,912.6822748667832,927.6088495326413,1019.0931047203067,1188.2248616665781,1355.2166996911972,1428.9287927561109,1395.4591760194967,1368.603778880829,1470.8741361268246,1685.0277354991354
disorder,158.13572854490863,176.068332688373,230.41365741227008,320.28472467565126,396.190495582024,413.27764324844185,390.70941053248214,367.5251913150053,350.8730859791996,335.98841722696056,323.5429743572598,311.10756698883495,298.7061415651258,288.296642769548,275.84321888364525,263.2725545770351,262.5423010123309,275.6272475517829,289.0217509442498,291.36512489924223,283.0025116626185,270.78583596128533,261.25237589477007,258.14975287000493,259.9344778991358,258.329647818236,248.20144101537892,233.12846695208256,214.87730963294305,190.77663426560247,161.35656629082712,130.5566094370245,101.88399200810642,77.64913054062387,58.91582101915442,45.23524852168389,35.22486971078487,27.38435027897654,20.806958880971266,15.462750199347152,11.648052118066133,9.367093243466133,8.279944706067798,7.903656413770918,7.841366853249135,7.925251938165383,8.261420866759725,9.273304186583868,11.48430092635154,15.158345882096262,20.34444193232915,26.998652566153226,34.45965475182444,41.24467982236828,46.13121852831601,49.26760610460983,51.74729568351838,54.15099337152984,56.336231185510854,58.20196363982919,59.58433403700371,60.61112682586442,62.45461045608892,66.05659180601036,70.61624834112921,74.58682862717323,77.20969246091491,78.40170707728447,78.21603611025527,76.9877720838397,75.1768734314965
