patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch2obb4c_1,1,disorder,none,0.006234622,0.006817617,0.007198777,0.008179009,0.010646023,0.014586031,0.018483776,0.020701504,0.020633032,0.018398103,0.014650159,0.010536692,0.007136881
ch2obb4b_1,1,disorder,none,0.002464416,0.003796083,0.005738002,0.008642178,0.012656942,0.016731398,0.019050098,0.018434393,0.015345369,0.011487933,0.00837054,0.006411988,0.005265231
ch2obb4a_1,1,disorder,none,0.005232263,0.007990525,0.011495102,0.014459002,0.016105107,0.016509019,0.016028798,0.014805515,0.012965925,0.010967447,0.009248649,0.007836209,0.006618783
ch2obb3c_1,1,disorder,none,0.002867828,0.002550883,0.002189883,0.00183648,0.001572632,0.001469085,0.001574289,0.001909551,0.002317595,0.002481317,0.002280523,0.001925664,0.001662388
ch2obb3b_1,1,disorder,none,0.003702339,0.003394385,0.003159863,0.002874339,0.002547202,0.002361391,0.002459067,0.00273907,0.002899546,0.00272185,0.002267964,0.001769137,0.00139855
ch2obb3a_1,1,disorder,none,0.003154655,0.002725205,0.002322004,0.002009279,0.001845614,0.001893602,0.002148447,0.002424252,0.002496437,0.00233325,0.002052597,0.001758562,0.001508467
ch2obb2e_1,1,disorder,none,1.06E-05,1.25E-05,1.33E-05,1.29E-05,1.27E-05,1.51E-05,2.23E-05,3.33E-05,4.44E-05,5.28E-05,5.91E-05,6.41E-05,6.74E-05
ch2obb2d_1,1,disorder,none,1.05E-05,1.51E-05,2.01E-05,2.33E-05,2.43E-05,2.57E-05,3.03E-05,3.88E-05,4.93E-05,5.83E-05,6.36E-05,6.59E-05,6.81E-05
ch2obb2c_1,1,disorder,none,9.58E-06,1.37E-05,1.80E-05,2.03E-05,2.04E-05,2.07E-05,2.40E-05,3.09E-05,3.95E-05,4.69E-05,5.17E-05,5.47E-05,5.80E-05
ch2obb2b_1,1,disorder,none,1.76E-05,2.49E-05,2.99E-05,3.17E-05,3.09E-05,3.00E-05,3.15E-05,3.56E-05,4.17E-05,5.02E-05,6.12E-05,7.24E-05,8.15E-05
